"Subject","Predicate","Object"
"UserID: 30","watchedSession","UserSession: 30_Tiktok_Smartphone"
"UserSession: 30_Tiktok_Smartphone","usesPlatform","Tiktok"
"UserSession: 30_Tiktok_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 30_Tiktok_Smartphone","connectsVia","Wi-Fi"
"UserSession: 30_Tiktok_Smartphone","performsActivity","At Home"
"UserID: 31","hasGender","Male"
"UserID: 31","livesIn","United States"
"UserID: 31","hasProfession","Driver"
"UserID: 31","hasDemographics","Rural"
"UserID: 31","watched","VideoID: 5875 (Pranks)"
"VideoID: 5875 (Pranks)","watchReason","Habit"
"UserID: 31","watchedSession","UserSession: 31_Instagram_Smartphone"
"UserSession: 31_Instagram_Smartphone","usesPlatform","Instagram"
"UserSession: 31_Instagram_Smartphone","usesDevice","Smartphone (Ios)"
"UserSession: 31_Instagram_Smartphone","connectsVia","Wi-Fi"
"UserSession: 31_Instagram_Smartphone","performsActivity","At School"
"UserID: 32","hasGender","Male"
"UserID: 32","livesIn","United States"
"UserID: 32","hasProfession","Students"
"UserID: 32","hasDemographics","Rural"
"UserID: 32","watched","VideoID: 3689 (Jokes/Memes)"
"VideoID: 3689 (Jokes/Memes)","watchReason","Habit"
"UserID: 32","watchedSession","UserSession: 32_Facebook_Smartphone"
"UserSession: 32_Facebook_Smartphone","usesPlatform","Facebook"
"UserSession: 32_Facebook_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 32_Facebook_Smartphone","connectsVia","Mobile Data"
"UserSession: 32_Facebook_Smartphone","performsActivity","At Home"
"UserID: 33","hasGender","Male"
"UserID: 33","livesIn","India"
"UserID: 33","hasProfession","Labor/Worker"
"UserID: 33","hasDemographics","Rural"
"UserID: 33","watched","VideoID: 7690 (Trends)"
"VideoID: 7690 (Trends)","watchReason","Boredom"
"UserID: 33","watchedSession","UserSession: 33_Instagram_Tablet"
"UserSession: 33_Instagram_Tablet","usesPlatform","Instagram"
"UserSession: 33_Instagram_Tablet","usesDevice","Tablet (Ios)"
"UserSession: 33_Instagram_Tablet","connectsVia","Mobile Data"
"UserSession: 33_Instagram_Tablet","performsActivity","Commuting"
"UserID: 34","hasGender","Other"
"UserID: 34","livesIn","Mexico"
"UserID: 34","hasProfession","Waiting Staff"
"UserID: 34","hasDemographics","Rural"
"UserID: 34","watched","VideoID: 1380 (Trends)"
"VideoID: 1380 (Trends)","watchReason","Entertainment"
"UserID: 34","watchedSession","UserSession: 34_Facebook_Smartphone"
"UserSession: 34_Facebook_Smartphone","usesPlatform","Facebook"
"UserSession: 34_Facebook_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 34_Facebook_Smartphone","connectsVia","Mobile Data"
"UserSession: 34_Facebook_Smartphone","performsActivity","At Work"
"UserID: 35","hasGender","Female"
"UserID: 35","livesIn","Vietnam"
"UserID: 35","hasProfession","Students"
"UserID: 35","hasDemographics","Rural"
"UserID: 35","watched","VideoID: 4244 (Entertainment)"
"VideoID: 4244 (Entertainment)","watchReason","Entertainment"
"UserID: 35","watchedSession","UserSession: 35_Tiktok_Tablet"
"UserSession: 35_Tiktok_Tablet","usesPlatform","Tiktok"
"UserSession: 35_Tiktok_Tablet","usesDevice","Tablet (Ios)"
"UserSession: 35_Tiktok_Tablet","connectsVia","Mobile Data"
"UserSession: 35_Tiktok_Tablet","performsActivity","At School"
"UserID: 36","hasGender","Other"
"UserID: 36","livesIn","Mexico"
"UserID: 36","hasProfession","Students"
"UserID: 36","hasDemographics","Urban"
"UserID: 36","watched","VideoID: 9581 (Jokes/Memes)"
"VideoID: 9581 (Jokes/Memes)","watchReason","Procrastination"
"UserID: 36","watchedSession","UserSession: 36_Tiktok_Smartphone"
"UserSession: 36_Tiktok_Smartphone","usesPlatform","Tiktok"
"UserSession: 36_Tiktok_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 36_Tiktok_Smartphone","connectsVia","Wi-Fi"
"UserSession: 36_Tiktok_Smartphone","performsActivity","At Home"
"UserID: 37","hasGender","Male"
"UserID: 37","livesIn","United States"
"UserID: 37","hasProfession","Labor/Worker"
"UserID: 37","hasDemographics","Rural"
"UserID: 37","watched","VideoID: 6508 (Entertainment)"
"VideoID: 6508 (Entertainment)","watchReason","Entertainment"
"UserID: 37","watchedSession","UserSession: 37_Tiktok_Tablet"
"UserSession: 37_Tiktok_Tablet","usesPlatform","Tiktok"
"UserSession: 37_Tiktok_Tablet","usesDevice","Tablet (Android)"
"UserSession: 37_Tiktok_Tablet","connectsVia","Mobile Data"
"UserSession: 37_Tiktok_Tablet","performsActivity","At Home"
"UserID: 38","hasGender","Male"
"UserID: 38","livesIn","Philippines"
"UserID: 38","hasProfession","Students"
"UserID: 38","hasDemographics","Urban"
"UserID: 38","watched","VideoID: 7820 (Jokes/Memes)"
"VideoID: 7820 (Jokes/Memes)","watchReason","Boredom"
"UserID: 38","watchedSession","UserSession: 38_Youtube_Smartphone"
"UserSession: 38_Youtube_Smartphone","usesPlatform","Youtube"
"UserSession: 38_Youtube_Smartphone","usesDevice","Smartphone (Ios)"
"UserSession: 38_Youtube_Smartphone","connectsVia","Wi-Fi"
"UserSession: 38_Youtube_Smartphone","performsActivity","At School"
"UserID: 39","hasGender","Male"
"UserID: 39","livesIn","Barzil"
"UserID: 39","hasProfession","Cashier"
"UserID: 39","hasDemographics","Rural"
"UserID: 39","watched","VideoID: 8594 (Jokes/Memes)"
"VideoID: 8594 (Jokes/Memes)","watchReason","Habit"
"UserID: 39","watchedSession","UserSession: 39_Youtube_Smartphone"
"UserSession: 39_Youtube_Smartphone","usesPlatform","Youtube"
"UserSession: 39_Youtube_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 39_Youtube_Smartphone","connectsVia","Mobile Data"
"UserSession: 39_Youtube_Smartphone","performsActivity","At Home"
"UserID: 40","hasGender","Male"
"UserID: 40","livesIn","Germany"
"UserID: 40","hasProfession","Students"
"UserID: 40","hasDemographics","Rural"
"UserID: 40","watched","VideoID: 2654 (Asmr)"
"VideoID: 2654 (Asmr)","watchReason","Boredom"
"UserID: 40","watchedSession","UserSession: 40_Youtube_Tablet"
"UserSession: 40_Youtube_Tablet","usesPlatform","Youtube"
"UserSession: 40_Youtube_Tablet","usesDevice","Tablet (Android)"
"UserSession: 40_Youtube_Tablet","connectsVia","Mobile Data"
"UserSession: 40_Youtube_Tablet","performsActivity","Commuting"
"UserID: 41","hasGender","Male"
"UserID: 41","livesIn","Pakistan"
"UserID: 41","hasProfession","Waiting Staff"
"UserID: 41","hasDemographics","Urban"
"UserID: 41","watched","VideoID: 5612 (Comedy)"
"VideoID: 5612 (Comedy)","watchReason","Boredom"
"UserID: 41","watchedSession","UserSession: 41_Instagram_Smartphone"
"UserSession: 41_Instagram_Smartphone","usesPlatform","Instagram"
"UserSession: 41_Instagram_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 41_Instagram_Smartphone","connectsVia","Mobile Data"
"UserSession: 41_Instagram_Smartphone","performsActivity","At Work"
"UserID: 42","hasGender","Male"
"UserID: 42","livesIn","India"
"UserID: 42","hasProfession","Students"
"UserID: 42","hasDemographics","Urban"
"UserID: 42","watched","VideoID: 6128 (Asmr)"
"VideoID: 6128 (Asmr)","watchReason","Habit"
"UserID: 42","watchedSession","UserSession: 42_Tiktok_Smartphone"
"UserSession: 42_Tiktok_Smartphone","usesPlatform","Tiktok"
"UserSession: 42_Tiktok_Smartphone","usesDevice","Smartphone (Android)"
"UserSession: 42_Tiktok_Smartphone","connectsVia","Mobile Data"
"UserSession: 42_Tiktok_Smartphone","performsActivity","At School"
"UserID: 43","hasGender","Other"
"UserID: 43","livesIn","Indonesia"
"UserID: 43","hasProfession","Cashier"
"UserID: 43","hasDemographics","Rural"
"UserID: 43","watched","VideoID: 3924 (Life Hacks)"
"VideoID: 3924 (Life Hacks)","watchReason","Entertainment"
"UserID: 43","watchedSession","UserSession: 43_Tiktok_Tablet"
"UserSession: 43_Tiktok_Tablet","usesPlatform","Tiktok"
"UserSession: 43_Tiktok_Tablet","usesDevice","Tablet (Macos)"
"UserSession: 43_Tiktok_Tablet","connectsVia","Mobile Data"
"UserSession: 43_Tiktok_Tablet","performsActivity","At Home"
"UserID: 44","hasGender","Female"
"UserID: 44","livesIn","Pakistan"
"UserID: 44","hasProfession","Waiting Staff"
"UserID: 44","hasDemographics","Rural"
"UserID: 44","watched","VideoID: 8460 (Gaming)"
"VideoID: 8460 (Gaming)","watchReason","Entertainment"
"UserID: 44","watchedSession","UserSession: 44_Instagram_Tablet"
"UserSession: 44_Instagram_Tablet","usesPlatform","Instagram"
"UserSession: 44_Instagram_Tablet","usesDevice","Tablet (Windows)"
"UserSession: 44_Instagram_Tablet","connectsVia","Mobile Data"
"UserSession: 44_Instagram_Tablet","performsActivity","At School"
"UserID: 45","hasGender","Other"
"UserID: 45","livesIn","Philippines"
"UserID: 45","hasProfession","Labor/Worker"
"UserID: 45","hasDemographics","Urban"
"UserID: 45","watched","VideoID: 5913 (Gaming)"
"VideoID: 5913 (Gaming)","watchReason","Boredom"
"UserID: 45","watchedSession","UserSession: 45_Youtube_Smartphone"
"UserSession: 45_Youtube_Smartphone","usesPlatform","Youtube"
"UserSession: 45_Youtube_Smartphone","usesDevice","Smartphone (Ios)"
"UserSession: 45_Youtube_Smartphone","connectsVia","Mobile Data"
"UserSession: 45_Youtube_Smartphone","performsActivity","Commuting"
"UserID: 46","hasGender","Female"
"UserID: 46","livesIn","Pakistan"
"UserID: 46","hasProfession","Waiting Staff"
"UserID: 46","hasDemographics","Rural"
"UserID: 46","watched","VideoID: 5131 (Comedy)"
"VideoID: 5131 (Comedy)","watchReason","Procrastination"
"UserID: 46","watchedSession","UserSession: 46_Instagram_Smartphone"
"UserSession: 46_Instagram_Smartphone","usesPlatform","Instagram"
"UserSession: 46_Instagram_Smartphone","usesDevice","Smartphone (Windows)"
"UserSession: 46_Instagram_Smartphone","connectsVia","Mobile Data"
"UserSession: 46_Instagram_Smartphone","performsActivity","At Home"
"UserID: 47","hasGender","Male"
"UserID: 47","livesIn","Vietnam"
